Daily Calorie Target,Protein,Calories,Fat,Breakfast Suggestion,Lunch Suggestion,Dinner Suggestion,Snack Suggestion,Disease,Price_RM,Breakfast_Price_RM,Lunch_Price_RM,Dinner_Price_RM,Snack_Price_RM
1800,100,1850,50,Greek yogurt with berries and granola,Salmon salad with mixed greens and avocado,Chicken stir-fry with brown rice,Apple with peanut butter,Weight Gain,10.39,2.5975,2.5975,2.5975,2.5975
2800,160,2760,80,Oatmeal with protein powder and fruit,Chicken breast with sweet potato and broccoli,Steak with roasted vegetables,Protein shake,Weight Gain,7.46,1.865,1.865,1.865,1.865
1600,80,1480,40,Tofu scramble with vegetables,Lentil soup with whole wheat bread,1 chili with brown rice,Trail mix with nuts and dried fruit,"Weight Gain, Hypertension, Heart Disease",5.96,1.49,1.49,1.49,1.49
2200,120,2140,60,Eggs with whole wheat toast and avocado,Turkey sandwich on whole wheat bread with vegetables,Chicken and vegetable stir-fry with brown rice,Greek yogurt with fruit and granola,Weight Gain,10.51,2.6275,2.6275,2.6275,2.6275
2400,140,2470,70,Tofu scramble with vegetables and avocado,3 lentil stew with whole wheat bread,Tofu stir-fry with brown rice and vegetables,Banana with almond butter,Weight Gain,13.72,3.43,3.43,3.43,3.43
2000,110,1890,50,Greek yogurt with fruit and granola,Tuna salad with whole wheat bread,Chicken breast with sweet potato and green beans,Mixed nuts and seeds,Weight Gain,14.06,3.515,3.515,3.515,3.515
1400,70,1315,35,Tofu scramble with vegetables,Lentil soup with whole wheat bread,3 pasta with vegetables and tomato sauce,Apple with peanut butter,"Weight Gain, Hypertension, Heart Disease, Kidney Disease",13.35,3.3375,3.3375,3.3375,3.3375
3000,180,3130,90,Oatmeal with protein powder and fruit,Chicken breast with sweet potato and broccoli,Steak with roasted vegetables,Protein shake,Weight Gain,13.49,3.3725,3.3725,3.3725,3.3725
1900,100,1810,50,Eggs with whole wheat toast and avocado,Lentil soup with whole wheat bread,1 chili with brown rice,Trail mix with nuts and dried fruit,Weight Gain,11.59,2.8975,2.8975,2.8975,2.8975
1500,80,1480,40,Tofu scramble with vegetables,3 lentil stew with whole wheat bread,Tofu stir-fry with brown rice and vegetables,Banana with almond butter,"Weight Gain, Hypertension, Heart Disease",14.19,3.5475,3.5475,3.5475,3.5475
1800,80,1660,60,Greek yogurt with berries and granola,Lentil soup with whole wheat bread,Salmon with roasted vegetables,Apple slices with peanut butter,Weight Gain,7.26,1.815,1.815,1.815,1.815
2800,150,2320,80,Tofu scramble with spinach and avocado,Quinoa salad with chickpeas and vegetables,Black bean burgers with sweet potato fries,Mixed nuts and seeds,Weight Gain,3.56,0.89,0.89,0.89,0.89
1600,65,1430,50,Overnight oats with fruit and chia seeds,Lentil and vegetable curry with brown rice,Tofu stir-fry with brown rice noodles,Fruit smoothie,"Weight Gain, Kidney Disease",13.11,3.2775,3.2775,3.2775,3.2775
3200,200,2900,100,Scrambled eggs with whole wheat toast and fruit,Chicken breast with brown rice and vegetables,Steak with sweet potato and asparagus,Protein shake,Weight Gain,3.89,0.9725,0.9725,0.9725,0.9725
1400,55,1180,40,Oatmeal with berries and plant-based milk,Lentil soup with whole wheat bread,Vegetable stir-fry with tofu and brown rice,Apple slices with almond butter,"Weight Gain, Hypertension, Heart Disease, Kidney Disease",13.42,3.355,3.355,3.355,3.355
2500,130,2030,70,Greek yogurt with fruit and granola,Tuna salad sandwich on whole wheat bread,Chicken breast with brown rice and vegetables,Trail mix,Weight Gain,6.44,1.61,1.61,1.61,1.61
1700,70,1490,50,Scrambled eggs with whole wheat toast and avocado,1 chili with whole wheat bread,Black bean burgers with salad,Apple slices with almond butter,"Weight Gain, Kidney Disease",12.23,3.0575,3.0575,3.0575,3.0575
2400,100,1990,70,Oatmeal with fruit and nuts,Chicken salad sandwich on whole wheat bread,Salmon with roasted vegetables,Fruit and cheese,Weight Gain,6,1.5,1.5,1.5,1.5
2200,110,1780,60,Overnight oats with fruit and chia seeds,Tofu scramble with spinach and avocado,Lentil and vegetable curry with brown rice,Protein shake,Weight Gain,9.61,2.4025,2.4025,2.4025,2.4025
2000,90,1780,60,Greek yogurt with fruit and granola,Chicken breast salad with vegetables,Turkey chili with brown rice,Fruit and yogurt,Weight Gain,13.99,3.4975,3.4975,3.4975,3.4975
2200,120,2020,60,Oatmeal with berries and nuts,Grilled chicken salad with mixed greens,Salmon with roasted vegetables,Greek yogurt with fruit,Weight Gain,9.42,2.355,2.355,2.355,2.355
2000,100,1740,60,Tofu scramble with whole-wheat toast,Lentil soup with whole-wheat bread,Vegetable stir-fry with brown rice,Trail mix with nuts and dried fruit,Weight Gain,5.66,1.415,1.415,1.415,1.415
2000,80,1770,50,Tofu and vegetable breakfast burrito,Black bean burger on a whole-wheat bun,Lentil pasta with marinara sauce,Fruit salad with nuts,Weight Gain,4.03,1.0075,1.0075,1.0075,1.0075
1800,80,1490,50,Greek yogurt with granola,Chicken breast salad with mixed greens,Turkey meatballs with steamed vegetables,Popcorn,Weight Gain,13.47,3.3675,3.3675,3.3675,3.3675
3000,160,2760,80,Scrambled eggs with avocado and whole-wheat toast,Chicken breast with brown rice and vegetables,Steak with sweet potato fries,Protein shake with banana,Weight Gain,3.37,0.8425,0.8425,0.8425,0.8425
1800,80,1570,50,Overnight oats with chia seeds and fruit,Tofu and vegetable stir-fry with brown rice,Lentil soup with whole-wheat bread,Fruit salad with nuts,Weight Gain,7.33,1.8325,1.8325,1.8325,1.8325
2200,80,1940,60,Pancakes with fruit and syrup,Grilled chicken sandwich with whole-wheat bread,Chicken stir-fry with brown rice,Popcorn,Weight Gain,13.05,3.2625,3.2625,3.2625,3.2625
2400,120,2230,70,Tofu scramble with whole-wheat toast,Black bean burger on a whole-wheat bun,Chickpea curry with brown rice,Energy bar with nuts and seeds,Weight Gain,12.75,3.1875,3.1875,3.1875,3.1875
1800,80,1570,50,Overnight oats with chia seeds and fruit,Tofu and vegetable stir-fry with brown rice,Lentil stew with whole-wheat bread,Trail mix with nuts and dried fruit,Weight Gain,6.13,1.5325,1.5325,1.5325,1.5325
2000,80,1770,50,Scrambled eggs with whole-wheat toast,Tuna salad sandwich with whole-wheat bread,Chicken breast with roasted vegetables,Fruit salad with nuts,Weight Gain,5.39,1.3475,1.3475,1.3475,1.3475
2000,120,2065,65,Greek yogurt with berries and granola,Chicken breast salad with mixed greens,Salmon with roasted vegetables,Apple with peanut butter,Weight Gain,8.86,2.215,2.215,2.215,2.215
2200,100,2230,70,Tofu scramble with whole-wheat toast,Lentil soup with whole-wheat bread,Tofu stir-fry with brown rice,Trail mix with nuts and dried fruit,Weight Gain,14.28,3.57,3.57,3.57,3.57
2800,150,2810,90,Oatmeal with fruit and nuts,Chicken and vegetable stir-fry,Beef stew with brown rice,Protein bar,Weight Gain,8.84,2.21,2.21,2.21,2.21
1600,80,1570,50,Tofu scramble with spinach and avocado toast,Lentil soup with whole-wheat bread,3 chili with brown rice,Fruit salad with nuts,Weight Gain,12.21,3.0525,3.0525,3.0525,3.0525
2600,130,2640,80,Tofu and veggie breakfast burrito,Lentil and quinoa salad,3 pasta with marinara sauce,Smoothie with protein powder and fruit,Weight Gain,13.59,3.3975,3.3975,3.3975,3.3975
1800,90,1780,60,Eggs with whole-wheat toast,Chicken salad sandwich with mixed greens,Fish with roasted vegetables,Greek yogurt with fruit,Weight Gain,14.77,3.6925,3.6925,3.6925,3.6925
2400,110,2395,75,Quinoa porridge with fruit and nuts,Chickpea and vegetable curry,Black bean burgers on whole-wheat buns,Trail mix with nuts and seeds,Weight Gain,5.37,1.3425,1.3425,1.3425,1.3425
2100,100,2065,65,Tofu scramble with vegetables and whole-wheat toast,Black bean burgers with sweet potato fries,3 stir-fry with brown rice,Fruit salad with nuts,Weight Gain,4.05,1.0125,1.0125,1.0125,1.0125
2400,120,2355,75,Scrambled eggs with bacon and whole-wheat toast,Chicken Caesar salad,Grilled salmon with roasted vegetables,Mixed nuts,Weight Gain,8.59,2.1475,2.1475,2.1475,2.1475
2000,90,1945,65,Greek yogurt with fruit and granola,Chickpea salad sandwich with whole-wheat bread,Lentil stew with brown rice,Smoothie with protein powder and fruit,Weight Gain,10.7,2.675,2.675,2.675,2.675
2800,160,2760,80,Oatmeal with protein powder and berries,Chicken breast with brown rice and vegetables,Salmon with sweet potato and broccoli,Greek yogurt with nuts and seeds,Weight Gain,7.48,1.87,1.87,1.87,1.87
1800,100,1730,50,Tofu scramble with vegetables and whole-wheat toast,1 chili with a side salad,Lentil soup with whole-wheat bread,Apple with peanut butter,Weight Gain,14.12,3.53,3.53,3.53,3.53
2200,120,2020,60,Eggs with whole-wheat toast and avocado,Grilled chicken salad with mixed greens,Tuna with quinoa and roasted vegetables,Trail mix with almonds and dried fruit,Weight Gain,4.32,1.08,1.08,1.08,1.08
2400,140,2390,70,Tofu scramble with vegetables and whole-wheat toast,Black bean burger with sweet potato fries,Lentil stew with brown rice,Banana with almond butter,Weight Gain,9.39,2.3475,2.3475,2.3475,2.3475
1600,80,1400,40,Greek yogurt with berries and granola,Grilled salmon with roasted vegetables,Chicken breast with steamed vegetables,Fruit salad with nuts and seeds,"Weight Gain, Hypertension, Heart Disease",5.75,1.4375,1.4375,1.4375,1.4375
3000,180,3130,90,Pancakes with fruit and syrup,Chicken stir-fry with brown rice,Steak with baked potato and green beans,Protein shake with fruit,Weight Gain,12.17,3.0425,3.0425,3.0425,3.0425
1500,80,1320,40,Greek yogurt with berries and granola,1 chili with a side salad,Lentil soup with whole-wheat bread,Apple with peanut butter,"Weight Gain, Hypertension, Heart Disease",5.09,1.2725,1.2725,1.2725,1.2725
1700,80,1530,50,Scrambled eggs with vegetables and whole-wheat toast,Black bean burger with sweet potato fries,1 lasagna with salad,Fruit salad with nuts and seeds,Weight Gain,8.76,2.19,2.19,2.19,2.19
1800,100,1740,60,Greek yogurt with berries and granola,Tuna salad sandwich on whole-wheat bread with a side of mixed greens,Salmon with roasted vegetables and quinoa,Apple slices with almond butter,Weight Gain,14.36,3.59,3.59,3.59,3.59
2800,180,2640,80,Scrambled eggs with whole-wheat toast and avocado,Chicken breast with quinoa and steamed vegetables,Steak with baked potato and broccoli,Protein shake with banana,Weight Gain,9.45,2.3625,2.3625,2.3625,2.3625
2000,80,1830,70,Oatmeal with fruit and nuts,Lentil soup with whole-wheat bread,1 chili with brown rice,Trail mix with dried fruit and nuts,Weight Gain,4.01,1.0025,1.0025,1.0025,1.0025
2500,160,2390,70,Tofu scramble with veggies and whole-wheat toast,Lentil and vegetable curry with brown rice,Black bean burgers with sweet potato fries,Banana with almond butter,Weight Gain,14.11,3.5275,3.5275,3.5275,3.5275
1600,80,1490,50,Overnight oats with fruit and nuts,Vegetable stir-fry with brown rice,Lentil and vegetable stew,Apple slices with peanut butter,Weight Gain,3.67,0.9175,0.9175,0.9175,0.9175
3200,200,3010,90,Oatmeal with protein powder and fruit,Chicken breast with brown rice and steamed vegetables,Beef stir-fry with brown rice,Protein bar,Weight Gain,4.49,1.1225,1.1225,1.1225,1.1225
1500,70,1410,50,Greek yogurt with fruit and granola,Black bean burger with whole-wheat bun and salad,Lentil soup with whole-wheat bread,Trail mix with dried fruit and nuts,"Weight Gain, Kidney Disease",10.53,2.6325,2.6325,2.6325,2.6325
2400,150,2270,70,Tofu scramble with veggies and whole-wheat toast,Lentil and vegetable curry with brown rice,Black bean burgers with sweet potato fries,Banana with almond butter,Weight Gain,8.53,2.1325,2.1325,2.1325,2.1325
1700,90,1660,60,Eggs with whole-wheat toast and avocado,Chicken salad sandwich on whole-wheat bread with a side of mixed greens,Salmon with roasted vegetables and quinoa,Apple slices with almond butter,Weight Gain,8.74,2.185,2.185,2.185,2.185
2100,70,1830,70,Oatmeal with fruit and nuts,Lentil soup with whole-wheat bread,1 chili with brown rice,Trail mix with dried fruit and nuts,"Weight Gain, Kidney Disease",14.74,3.685,3.685,3.685,3.685
2000,120,2020,60,Greek yogurt with berries and nuts,Grilled chicken salad with mixed greens,Salmon with roasted vegetables,Fruit and nuts,Weight Gain,14.25,3.5625,3.5625,3.5625,3.5625
1800,80,1740,60,Oatmeal with fruit and nuts,Lentil soup with whole grain bread,Tofu stir-fry with brown rice,Vegetable sticks with hummus,Weight Gain,9.29,2.3225,2.3225,2.3225,2.3225
2500,180,2640,80,Scrambled eggs with whole wheat toast and avocado,Chicken breast with brown rice and steamed vegetables,Beef stew with whole grain bread,Protein shake,Weight Gain,7.14,1.785,1.785,1.785,1.785
2200,100,2060,60,Tofu scramble with whole wheat toast and avocado,Lentil salad with quinoa and mixed greens,Chickpea curry with brown rice,Fruit and nut mix,Weight Gain,10.29,2.5725,2.5725,2.5725,2.5725
2200,100,2110,70,Yogurt with fruit and granola,Turkey sandwich on whole grain bread,Chicken breast with roasted vegetables,Trail mix,Weight Gain,8.82,2.205,2.205,2.205,2.205
2000,100,1940,60,Oatmeal with protein powder and fruit,Bean burrito with brown rice,Chickpea and vegetable pasta,Greek yogurt with fruit and nuts,Weight Gain,3.55,0.8875,0.8875,0.8875,0.8875
1800,80,1740,60,Scrambled eggs with whole wheat toast and fruit,Tuna salad with whole grain bread,Salmon with steamed vegetables,Mixed nuts,Weight Gain,12.43,3.1075,3.1075,3.1075,3.1075
2400,120,2400,80,Tofu scramble with whole wheat toast and avocado,Lentil salad with quinoa and mixed greens,Chickpea curry with brown rice,Fruit and nut mix,Weight Gain,7.78,1.945,1.945,1.945,1.945
1900,80,1780,60,Yogurt with fruit and granola,Black bean soup with whole wheat bread,Vegetable stir-fry with brown rice,Trail mix,Weight Gain,13.95,3.4875,3.4875,3.4875,3.4875
2800,160,2940,100,Eggs with whole wheat toast and avocado,Chicken breast with brown rice and steamed vegetables,Steak with sweet potato and green beans,Protein shake,Weight Gain,13.38,3.345,3.345,3.345,3.345
1800,100,1740,60,Greek yogurt with berries and almonds,Grilled chicken salad with mixed greens,Lentil soup with whole-wheat bread,Apple with peanut butter,Weight Gain,12.59,3.1475,3.1475,3.1475,3.1475
2800,180,2840,80,Scrambled eggs with whole-wheat toast and avocado,Chicken breast with brown rice and steamed vegetables,Salmon with roasted sweet potatoes,Protein shake,Weight Gain,14.01,3.5025,3.5025,3.5025,3.5025
1600,80,1490,50,Oatmeal with fruit and nuts,Lentil and vegetable curry with brown rice,Black bean burgers on whole-wheat buns,Hummus with vegetables,Weight Gain,12.44,3.11,3.11,3.11,3.11
3200,160,3050,90,Tofu scramble with vegetables and whole-wheat toast,Lentil stew with brown rice and quinoa,Chickpea and vegetable curry with brown rice,Trail mix with nuts and dried fruits,Weight Gain,13.8,3.45,3.45,3.45,3.45
2400,140,2310,70,Eggs with whole-wheat toast and bacon,Chicken breast with roasted vegetables,Steak with mashed potatoes and green beans,Greek yogurt with berries,Weight Gain,11.51,2.8775,2.8775,2.8775,2.8775
1500,70,1280,40,Overnight oats with fruit and chia seeds,Lentil and vegetable soup with whole-wheat bread,Tofu stir-fry with brown rice and vegetables,Banana with almond butter,"Weight Gain, Hypertension, Heart Disease, Kidney Disease",13.33,3.3325,3.3325,3.3325,3.3325
2000,90,1780,60,Scrambled tofu with whole-wheat toast and avocado,Black bean burgers on whole-wheat buns with salad,Lentil and vegetable soup with whole-wheat bread,Trail mix with nuts and dried fruits,Weight Gain,8.02,2.005,2.005,2.005,2.005
2800,150,2720,80,Tofu scramble with vegetables and whole-wheat toast,Lentil and vegetable curry with brown rice and quinoa,Chickpea and vegetable curry with brown rice,Trail mix with nuts and dried fruits,Weight Gain,14.48,3.62,3.62,3.62,3.62
3000,170,2920,80,Eggs with whole-wheat toast and bacon,Chicken breast with brown rice and steamed vegetables,Steak with mashed potatoes and green beans,Protein shake,Weight Gain,14.64,3.66,3.66,3.66,3.66
1700,80,1530,50,Overnight oats with fruit and chia seeds,Lentil and vegetable soup with whole-wheat bread,Tofu stir-fry with brown rice and vegetables,Banana with almond butter,Weight Gain,7.61,1.9025,1.9025,1.9025,1.9025
1800,75,1550,50,Oatmeal with berries and nuts,Grilled chicken salad with mixed greens,Lentil soup with whole wheat bread,Greek yogurt with fruit and granola,"Weight Gain, Kidney Disease",4.29,1.0725,1.0725,1.0725,1.0725
2500,90,2190,70,Tofu scramble with vegetables,Lentil and vegetable curry with brown rice,Quinoa salad with roasted vegetables,Trail mix,Weight Gain,4.46,1.115,1.115,1.115,1.115
2400,100,2340,60,Tofu and vegetable stir-fry with brown rice,Black bean burgers with sweet potato fries,Lentil and vegetable stew,Fruit and nut mix,Weight Gain,10.14,2.535,2.535,2.535,2.535
2000,80,1815,55,Scrambled eggs with whole wheat toast,Chicken breast with brown rice and steamed vegetables,Salmon with roasted vegetables,Low-fat Greek yogurt with berries,Weight Gain,11.52,2.88,2.88,2.88,2.88
1800,70,1610,50,Tofu and vegetable scramble with whole wheat toast,Chickpea salad sandwich on whole wheat bread,Lentil and vegetable stew with brown rice,Fruit and nut mix,"Weight Gain, Kidney Disease",10.75,2.6875,2.6875,2.6875,2.6875
2800,120,2720,80,Greek yogurt with fruit and granola,Chicken breast with brown rice and roasted vegetables,Steak with sweet potato and green beans,Protein bar,Weight Gain,13.84,3.46,3.46,3.46,3.46
2000,80,1815,55,Tofu scramble with vegetables,Black bean burger with whole wheat bun,Lentil and vegetable stew with brown rice,Fruit and nut mix,Weight Gain,8.64,2.16,2.16,2.16,2.16
2200,85,2045,65,Tofu and vegetable stir-fry with brown rice,Black bean burgers with sweet potato fries,Lentil and vegetable curry with brown rice,Fruit and nut mix,Weight Gain,4.2,1.05,1.05,1.05,1.05
2200,90,2100,60,Oatmeal with berries and nuts,Chicken breast with brown rice and steamed vegetables,Salmon with roasted vegetables,Protein bar,Weight Gain,3.97,0.9925,0.9925,0.9925,0.9925
2300,80,2150,70,Tofu and vegetable scramble with whole wheat toast,Lentil and vegetable curry with brown rice,Quinoa salad with roasted vegetables,Trail mix,Weight Gain,10.58,2.645,2.645,2.645,2.645
2200,150,2140,60,Greek yogurt with berries and granola,Quinoa salad with chicken and vegetables,Grilled salmon with roasted vegetables,Fruit and nuts,Weight Gain,5.39,1.3475,1.3475,1.3475,1.3475
1800,100,1650,50,Tofu scramble with vegetables and whole-wheat toast,Lentil soup with whole-wheat bread,Vegetable stir-fry with brown rice,Trail mix,Weight Gain,3.56,0.89,0.89,0.89,0.89
1800,120,1640,40,Oatmeal with fruit and nuts,Chicken breast salad with mixed greens,Tuna salad sandwich on whole-wheat bread,Fruit and yogurt,"Weight Gain, Hypertension, Heart Disease",4.54,1.135,1.135,1.135,1.135
1600,80,1400,40,Tofu and vegetable stir-fry with brown rice,Lentil soup with whole-wheat bread,Black bean burgers on whole-wheat buns,Raw vegetables and hummus,"Weight Gain, Hypertension, Heart Disease",5.05,1.2625,1.2625,1.2625,1.2625
2500,180,2640,80,Scrambled eggs with whole-wheat toast and avocado,Chicken breast with brown rice and vegetables,Steak with sweet potato and broccoli,Protein shake,Weight Gain,14.63,3.6575,3.6575,3.6575,3.6575
2000,140,1890,50,Tofu scramble with vegetables and whole-wheat toast,Lentil soup with whole-wheat bread,Chickpea curry with brown rice,Fruit and nuts,Weight Gain,6.92,1.73,1.73,1.73,1.73
1600,100,1480,40,Oatmeal with fruit and nuts,Tuna salad sandwich on whole-wheat bread,Chicken breast with roasted vegetables and sweet potato,Fruit and yogurt,"Weight Gain, Hypertension, Heart Disease",12.95,3.2375,3.2375,3.2375,3.2375
2300,150,2350,70,Tofu and vegetable stir-fry with brown rice,Chickpea salad with mixed greens,Lentil stew with whole-wheat bread,Trail mix,Weight Gain,6.9,1.725,1.725,1.725,1.725
1400,70,1190,30,Scrambled eggs with whole-wheat toast,Chicken breast salad with mixed greens,Tuna salad sandwich on whole-wheat bread,Fruit and yogurt,"Hypertension, Heart Disease, Kidney Disease",12.52,3.13,3.13,3.13,3.13
2400,160,2300,60,Greek yogurt with berries and granola,Quinoa salad with chicken and vegetables,Grilled chicken with roasted vegetables,Fruit and nuts,Weight Gain,13.3,3.325,3.325,3.325,3.325
2200,120,2020,60,Greek Yogurt with berries and granola,Grilled chicken salad with mixed greens,Salmon with roasted vegetables,Apple with almond butter,Weight Gain,3.16,0.79,0.79,0.79,0.79
2000,100,1740,60,Tofu scramble with vegetables and avocado,Lentil soup with whole-wheat bread,Quinoa bowl with roasted chickpeas and vegetables,Trail mix with nuts and dried fruit,Weight Gain,12.13,3.0325,3.0325,3.0325,3.0325
1800,90,1530,50,Oatmeal with fruit and nuts,Tuna salad sandwich on whole-wheat bread,Chicken stir-fry with brown rice,Celery sticks with peanut butter,Weight Gain,7.24,1.81,1.81,1.81,1.81
2500,130,2350,70,Tofu omelet with spinach,3 lentil stew with brown rice,Black bean burgers on whole-wheat buns,Banana with almond butter,Weight Gain,12.94,3.235,3.235,3.235,3.235
1600,70,1280,40,Scrambled eggs with whole-wheat toast,1 chili with whole-wheat bread,Lentil pasta with tomato sauce,Fruit salad,"Weight Gain, Hypertension, Heart Disease, Kidney Disease",12.24,3.06,3.06,3.06,3.06
2800,150,2720,80,Greek yogurt with protein powder and fruit,Chicken breast with brown rice and vegetables,Turkey chili with sweet potato,Protein bar,Weight Gain,5.43,1.3575,1.3575,1.3575,1.3575
1800,90,1530,50,Tofu scramble with vegetables and avocado,3 lentil stew with brown rice,Black bean burgers on whole-wheat buns,Trail mix with nuts and dried fruit,Weight Gain,13.67,3.4175,3.4175,3.4175,3.4175
2200,110,1860,60,Oatmeal with fruit and nuts,Tuna salad sandwich on whole-wheat bread,Grilled salmon with roasted vegetables,Greek yogurt with berries,Weight Gain,11.87,2.9675,2.9675,2.9675,2.9675
1500,70,1240,40,Scrambled eggs with whole-wheat toast,Chicken salad sandwich on whole-wheat bread,Chicken stir-fry with brown rice,Apple with peanut butter,"Weight Gain, Hypertension, Heart Disease, Kidney Disease",3.54,0.885,0.885,0.885,0.885
2300,120,2140,60,Tofu omelet with spinach,3 lentil stew with brown rice,Black bean burgers on whole-wheat buns,Banana with almond butter,Weight Gain,8.43,2.1075,2.1075,2.1075,2.1075
2200,120,2020,60,Greek yogurt with berries and granola,Grilled chicken salad with mixed greens and avocado,Salmon with roasted vegetables and quinoa,Trail mix with almonds and dried cranberries,Weight Gain,3.48,0.87,0.87,0.87,0.87
1800,80,1650,50,Oatmeal with fruit and nuts,Lentil soup with whole-wheat bread,1 chili with brown rice,Apple with peanut butter,Weight Gain,13.39,3.3475,3.3475,3.3475,3.3475
1900,85,1545,45,Tofu scramble with vegetables and whole-wheat toast,3 lentil stew with brown rice,Chickpea curry with brown rice,Banana with almond butter,"Weight Gain, Hypertension, Heart Disease",11.19,2.7975,2.7975,2.7975,2.7975
2500,150,2475,75,Scrambled eggs with whole-wheat toast and avocado,Chicken and vegetable stir-fry with brown rice,Chicken breast with sweet potato and broccoli,Protein bar with nuts,Weight Gain,7.13,1.7825,1.7825,1.7825,1.7825
1700,75,1380,40,Tofu breakfast burrito with whole-wheat tortilla,3 pasta salad with vegetables,Lentil and vegetable curry with brown rice,Fruit salad with nuts,"Weight Gain, Hypertension, Heart Disease, Kidney Disease",11.74,2.935,2.935,2.935,2.935
3000,180,2930,90,Protein pancakes with fruit and syrup,Chicken breast with brown rice and vegetables,Steak with baked potato and green beans,Protein shake with fruit,Weight Gain,4.78,1.195,1.195,1.195,1.195
1600,70,1405,45,Scrambled tofu with spinach and tomato,1 chili with brown rice,Quinoa bowl with roasted vegetables and chickpeas,Trail mix with dried fruit and nuts,"Weight Gain, Hypertension, Heart Disease, Kidney Disease",3.37,0.8425,0.8425,0.8425,0.8425
2500,130,2270,70,Greek yogurt with berries and granola,Tuna salad sandwich on whole-wheat bread,Chicken breast with brown rice and vegetables,Mixed nuts and seeds,Weight Gain,12.71,3.1775,3.1775,3.1775,3.1775
